"date","plot.nm","treatment","vwc"
2019-04-07,17,"S-",0.174333333333333
2019-04-07,21,"OC-",0.20525
2019-04-07,22,"S-",0.2036875
2019-04-07,23,"OC+",0.208166666666667
2019-04-07,27,"C+",0.180916666666667
2019-04-07,30,"R-",0.160354166666667
2019-04-07,32,"I-",0.188666666666667
2019-04-07,33,"V-",0.112916666666667
2019-04-07,35,"R+",0.171
2019-04-07,36,"C+",0.196708333333333
2019-04-07,38,"OC+",0.19275
2019-04-07,39,"C-",0.193708333333333
2019-04-07,41,"R+",0.171416666666667
2019-04-07,42,"OC+",0.177541666666667
2019-04-07,45,"S-",0.197666666666667
2019-04-07,47,"V-",0.1175625
2019-04-07,48,"I-",0.205770833333333
2019-04-07,53,"C-",0.199833333333333
2019-04-07,54,"V+",0.137375
2019-04-07,56,"R-",0.1764375
2019-04-07,58,"OC-",0.170625
2019-04-08,2,"C-",0.180541666666667
2019-04-08,4,"R+",0.122833333333333
2019-04-08,5,"R-",0.0852083333333333
2019-04-08,7,"OC-",0.155895833333333
2019-04-08,8,"V+",0.0888333333333333
2019-04-08,12,"C+",0.173125
2019-04-08,13,"V+",0.135708333333333
2019-04-08,14,"I-",0.2030625
2019-04-08,16,"V-",0.105395833333333
2019-04-08,17,"S-",0.161125
2019-04-08,21,"OC-",0.192770833333333
2019-04-08,22,"S-",0.1905625
2019-04-08,23,"OC+",0.195791666666667
2019-04-08,27,"C+",0.164083333333333
2019-04-08,30,"R-",0.147416666666667
2019-04-08,32,"I-",0.177583333333333
2019-04-08,33,"V-",0.109145833333333
2019-04-08,35,"R+",0.16125
2019-04-08,36,"C+",0.183458333333333
2019-04-08,38,"OC+",0.179916666666667
2019-04-08,39,"C-",0.179020833333333
2019-04-08,41,"R+",0.161916666666667
2019-04-08,42,"OC+",0.169833333333333
2019-04-08,45,"S-",0.183958333333333
2019-04-08,47,"V-",0.1134375
2019-04-08,48,"I-",0.1949375
2019-04-08,53,"C-",0.190791666666667
2019-04-08,54,"V+",0.134125
2019-04-08,56,"R-",0.169291666666667
2019-04-08,58,"OC-",0.159875
2019-04-09,2,"C-",0.169020833333333
2019-04-09,4,"R+",0.111958333333333
